"Execution Time (UTC)","Execution Time (Local)","Technique","Test Number","Test Name","Hostname","IP Address","Username","GUID","ProcessId","ExitCode"
"2025-07-17T14:17:29Z","2025-07-17T19:47:29Z","T1059.004","1","Create and Execute Bash Shell Script","VPLE","System.Object[]","administrator","7e7ac3ed-f795-4fa5-b711-09d6fbe9b873","6457","0"
"2025-07-17T14:17:32Z","2025-07-17T19:47:32Z","T1059.004","2","Command-Line Interface","VPLE","System.Object[]","administrator","d0c88567-803d-4dca-99b4-7ce65e7b257c","6467","0"
"2025-07-17T14:17:32Z","2025-07-17T19:47:32Z","T1059.004","3","Harvest SUID executable files","VPLE","System.Object[]","administrator","46274fc6-08a7-4956-861b-24cbbaa0503c","6476","127"
"2025-07-17T14:17:46Z","2025-07-17T19:47:46Z","T1547.006","1","Linux - Load Kernel Module via insmod","VPLE","System.Object[]","administrator","687dcb93-9656-4853-9c36-9977315e9d23","6587","1"
"2025-07-17T14:18:10Z","2025-07-17T19:48:10Z","T1548.001","1","Make and modify binary from C source","VPLE","System.Object[]","administrator","896dfe97-ae43-4101-8e96-9a7996555d80","6691","127"
"2025-07-17T14:18:10Z","2025-07-17T19:48:10Z","T1548.001","2","Make and modify binary from C source (freebsd)","VPLE","System.Object[]","administrator","dd580455-d84b-481b-b8b0-ac96f3b1dc4c","6702","127"
"2025-07-17T14:18:29Z","2025-07-17T19:48:29Z","T1070.004","1","Delete a single file - FreeBSD/Linux/macOS","VPLE","System.Object[]","administrator","562d737f-2fc6-4b09-8c2a-7f8ff0828480","6824","0"
"2025-07-17T14:18:30Z","2025-07-17T19:48:30Z","T1070.004","2","Delete an entire folder - FreeBSD/Linux/macOS","VPLE","System.Object[]","administrator","a415f17e-ce8d-4ce2-a8b4-83b674e7017e","6830","0"
"2025-07-17T14:18:43Z","2025-07-17T19:48:43Z","T1003.008","1","Access /etc/shadow (Local)","VPLE","System.Object[]","administrator","3723ab77-c546-403c-8fb4-bb577033b235","6935","0"
"2025-07-17T14:18:43Z","2025-07-17T19:48:43Z","T1003.008","2","Access /etc/master.passwd (Local)","VPLE","System.Object[]","administrator","5076874f-a8e6-4077-8ace-9e5ab54114a5","6942","0"
"2025-07-17T14:19:07Z","2025-07-17T19:49:07Z","T1082","3","List OS Information","VPLE","System.Object[]","administrator","cccb070c-df86-4216-a5bc-9fb60c74e27c","7209","0"
